temp_air,pressure,dew_point,relative_humidity
1.34,98060.0,0.19247848761709346,92.05
0.97,97950.0,-0.7055528737612534,88.55
1.02,97850.0,-0.6562525194739902,88.55
1.31,97730.0,-0.36256771400582893,88.6
1.45,97620.0,-0.22452083555296073,88.6
1.37,97540.0,0.22219112856381132,92.05
1.28,97450.0,-0.39214933519827555,88.6
1.43,97380.0,0.2816163030502311,92.05
1.74,97360.0,0.06919924419406924,88.65
2.34,97360.0,0.6608445719158674,88.65
2.94,97380.0,1.792272318018927,92.15
3.44,97400.0,2.287509304133875,92.15
3.69,97450.0,3.0677375737311245,95.7
3.42,97490.0,2.267700013146761,92.15
3.28,97530.0,2.1290345365057943,92.15
3.24,97500.0,2.0894156875513694,92.15
3.09,97490.0,1.9408444444870148,92.15
2.43,97490.0,0.22531057635766888,85.35
1.95,97450.0,-0.2539730832784973,85.3
1.67,97410.0,-1.0599429368761553,82.05
1.53,97380.0,-1.2050741547605164,82.0
1.66,97340.0,-2.1187949373063284,75.95
1.86,97290.0,-1.9250624775924534,75.95
1.92,97230.0,-2.4024552997558306,73.0
1.99,97190.0,-2.334958308438169,73.0
2.11,97240.0,-1.6829040901910175,75.95
2.66,97230.0,-2.1800182262549774,70.4
3.62,97230.0,-1.7697321753471207,67.8
4.58,97190.0,-0.8320747517614202,67.9
5.43,97130.0,0.02079279570243414,68.1
6.03,97080.0,0.6146595628927095,68.2
6.41,97010.0,0.9982831191997286,68.3
6.65,97000.0,1.2277548678329169,68.3
6.64,96980.0,1.2181937446835975,68.3
6.1,96960.0,0.6815830878750754,68.2
6.05,96930.0,0.10764921850212543,65.65
6.28,96940.0,-0.7167373667043744,60.85
4.26,96920.0,-0.6051710670094101,70.6
4.7,96840.0,-1.2294866984933872,65.4
5.03,96820.0,-1.435779019311582,62.95
4.69,96780.0,-2.817070443266245,58.2
4.15,96740.0,-3.381764913777121,57.95
3.93,96670.0,-3.588281518160546,57.95
4.12,96620.0,-3.40992557992955,57.95
4.37,96550.0,-3.668771522483254,55.85
4.46,96480.0,-3.5846508314510905,55.85
4.85,96430.0,-4.249735725048722,51.7
5.09,96360.0,-4.027414308063766,51.7
6.07,96310.0,-4.110966507395891,48.0
7.66,96260.0,-2.006357006468522,50.35
7.99,96260.0,-1.1461713770838646,52.45
8.69,96290.0,0.5997751806419694,56.8
8.9,96360.0,1.8915157321199438,61.45
8.63,96410.0,4.267892990604328,74.05
8.59,96400.0,4.229297007113304,74.05
8.53,96360.0,4.701489336546451,76.85
8.33,96400.0,5.03816394509163,79.75
7.93,96430.0,4.6398150930926585,79.7
7.38,96430.0,4.095496753136987,79.65
6.91,96440.0,3.6201750694006254,79.55
6.47,96400.0,3.716347684070485,82.55
6.69,96320.0,4.473545493575722,85.75
7.25,96230.0,5.031788632855209,85.8
7.54,96120.0,4.779636767078238,82.65
7.71,96040.0,4.425666799034004,79.7
7.77,95970.0,3.955645156343968,76.8
7.81,95910.0,4.52300756968835,79.7
7.64,95850.0,4.348570937882229,79.65
7.71,95830.0,3.897495126170607,76.8
7.65,95760.0,4.358304416662822,79.65
7.82,95730.0,4.004103177391333,76.8
7.93,95690.0,4.1107097439331675,76.8
7.96,95700.0,4.139784004413476,76.8
7.76,95740.0,3.9459535153240193,76.8
7.1,95830.0,4.8761362379781925,85.75
6.17,95920.0,5.014668574007601,92.3
5.26,95980.0,4.105536338074053,92.25
4.36,96030.0,3.2063883497419887,92.2
3.49,96070.0,1.8105270652463255,88.75
3.18,96080.0,1.5048265303659207,88.75
3.17,96130.0,1.4949651316839874,88.75
3.22,96220.0,1.5442720681524946,88.75
2.78,96260.0,1.1025373524093203,88.7
1.93,96290.0,0.7843438980697577,92.1
0.77,96330.0,0.15547950629842142,95.65
-0.85,96370.0,-1.46331882382032,95.6
-0.51,96400.0,-0.5924475293912995,99.4
-1.28,96390.0,-1.8910967636518978,95.6
-1.29,96380.0,-1.901045135690889,95.6
-0.97,96360.0,-1.052128101748376,99.4
-0.4,96320.0,-1.015648542700078,95.6
-0.1,96350.0,-0.7172041357903882,95.6
-0.11,96360.0,-0.7271522511463248,95.6
-0.03,96410.0,-0.11278150596517,99.4
0.15,96410.0,-0.4613333501820844,95.65
0.16,96400.0,-0.45138469014394744,95.65
0.19,96430.0,-0.4215387229303599,95.65
0.14,96530.0,-0.47128201237035966,95.65
0.06,96500.0,-0.022844201700388464,99.4
0.71,96480.0,0.09578830076088422,95.65
1.95,96470.0,0.8041531098045143,92.1
2.96,96460.0,0.22590766357204262,82.2
3.68,96360.0,0.4062742942506293,79.15
4.0,96290.0,0.1838020464553675,76.15
3.93,96270.0,0.11599474400659358,76.15
3.41,96260.0,-0.38773606019800744,76.15
2.63,96280.0,-0.10500937581074232,82.15
2.18,96280.0,-0.5448348250337947,82.15
1.72,96230.0,0.04947737693098864,88.65
-0.04,96210.0,-1.1817460264600672,92.0
-1.03,96200.0,-2.1696229445092294,91.95
-1.47,96160.0,-2.6127225957735485,91.9
-1.76,96110.0,-2.899925435509524,91.9
-1.61,96100.0,-2.751371816667797,91.9
-1.23,96050.0,-2.8976837725430733,88.4
-0.87,96030.0,-3.062013179416068,85.05
-0.82,95980.0,-2.485830750923021,88.45
-0.76,95950.0,-2.426671774927955,88.45
-0.67,95910.0,-1.8130841819037262,91.95
-0.56,95870.0,-1.7041428239732597,91.95
-0.55,95850.0,-1.1648714803036566,95.6
-0.31,95880.0,-1.4491594952059772,92.0
-0.47,95930.0,-1.0852858526743474,95.6
0.26,95960.0,-0.8846233735755737,92.0
-0.29,96020.0,-0.9062186995196374,95.6
0.51,96050.0,-0.10318294339091366,95.65
0.71,96120.0,-0.4314952427237929,92.05
0.77,96200.0,-0.372068492905051,92.05
0.76,96280.0,-0.38197294126270104,92.05
0.77,96370.0,-0.372068492905051,92.05
0.63,96440.0,-1.0407991287472214,88.55
0.55,96520.0,-0.597408234562912,92.0
0.47,96560.0,-0.676639660714633,92.0
0.0,96670.0,-1.142129464530583,92.0
-0.16,96660.0,-1.30059609664234,92.0
-0.26,96690.0,-1.9336885041579448,88.45
-0.29,96720.0,-1.963267087690771,88.45
-0.42,96740.0,-1.5654908918481525,91.95
-0.62,96720.0,-2.2886349838671145,88.45
-0.6,96700.0,-2.796990891373183,85.05
-1.81,96670.0,-3.4771029325772846,88.35
-2.61,96650.0,-4.280886195643475,88.25
-2.5,96660.0,-4.172444634609178,88.25
-1.24,96670.0,-3.4330630520086958,85.0
-1.26,96690.0,-3.4526938052577014,85.0
-1.08,96760.0,-2.7497926971475244,88.4
-1.1,96820.0,-2.7695114307491226,88.4
-0.61,96870.0,-2.278775256983619,88.45
-0.18,96910.0,-3.4352985006180776,78.65
-0.04,96950.0,-2.772331704363493,81.8
0.49,96970.0,-2.7664801127872156,78.75
1.01,96970.0,-2.7839130133143035,75.75
1.03,97050.0,-2.764543723020754,75.75
