# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
5880,6.68E-06,5880,6.29E-05,5880,0.000142538,5880,0.000130436
5910,6.73E-06,5910,6.21E-05,5910,0.000139386,5910,0.000129407
5940,6.81E-06,5940,6.12E-05,5940,0.000135533,5940,0.000128405
5970,6.64E-06,5970,6.02E-05,5970,0.000132131,5970,0.000127091
6000,6.53E-06,6000,5.93E-05,6000,0.000129243,6000,0.000125405
6030,6.56E-06,6030,5.83E-05,6030,0.000126367,6030,0.000123513
6060,6.46E-06,6060,5.73E-05,6060,0.000123428,6060,0.000121525
6090,6.15E-06,6090,5.63E-05,6090,0.000120506,6090,0.000119396
6120,5.85E-06,6120,5.51E-05,6120,0.000117596,6120,0.000117055
6150,5.70E-06,6150,5.40E-05,6150,0.000114658,6150,0.00011449
6180,5.48E-06,6180,5.27E-05,6180,0.000111663,6180,0.000111861
6210,5.25E-06,6210,5.15E-05,6210,0.00010862,6210,0.000109352
6240,5.12E-06,6240,5.04E-05,6240,0.000105683,6240,0.00010697
6270,4.96E-06,6270,4.92E-05,6270,0.000103015,6270,0.000104734
6300,4.52E-06,6300,4.81E-05,6300,0.000100622,6300,0.000102555
6330,4.01E-06,6330,4.71E-05,6330,9.85E-05,6330,0.00010063
6360,3.53E-06,6360,4.61E-05,6360,9.67E-05,6360,9.87E-05
6390,3.09E-06,6390,4.52E-05,6390,9.51E-05,6390,9.70E-05
6420,2.71E-06,6420,4.42E-05,6420,9.35E-05,6420,9.52E-05
6450,2.34E-06,6450,4.33E-05,6450,9.21E-05,6450,9.36E-05
6480,2.05E-06,6480,4.23E-05,6480,9.08E-05,6480,9.18E-05
6510,1.79E-06,6510,4.13E-05,6510,8.95E-05,6510,8.98E-05
6540,1.54E-06,6540,4.04E-05,6540,8.82E-05,6540,8.76E-05
6570,1.38E-06,6570,3.96E-05,6570,8.69E-05,6570,8.54E-05
6600,1.20E-06,6600,3.87E-05,6600,8.55E-05,6600,8.31E-05
6630,1.05E-06,6630,3.80E-05,6630,8.41E-05,6630,8.11E-05
